date,crypto_price,energy_used
2022-09-18,5.251811,20959.26104
2022-09-19,5.480259,21434.67635
2022-09-20,5.314151,20099.06258
2022-09-21,5.279063,20031.8099
2022-09-22,5.520966,19314.92078
2022-09-23,5.702567,19969.3505
2022-09-24,5.574241,20316.12977
2022-09-25,5.717006,20047.60816
2022-09-26,5.688375,19343.43592
2022-09-27,5.73376,18475.06932
2022-09-28,5.862675,18741.29211
2022-09-29,5.781772,20167.53803
2022-09-30,5.684224,20087.12828
2022-10-01,5.517215,20414.19641
2022-10-02,5.377714,17351.92511
2022-10-03,5.525445,16943.02881
2022-10-04,5.603505,18050.61931
2022-10-05,5.587211,18168.8373
2022-10-06,5.487322,17229.64751
