date,close,high,low,filecoin_volume,energy_used
2021-03-05,40.551811,40.730003,38.488346,764912784,50205.22612
2021-03-06,40.485287,40.909798,39.036747,556059908,49382.83589
2021-03-07,41.532177,41.724388,40.36216,507418012,49508.34162
2021-03-08,41.543385,41.893223,40.67831,525639115,49672.87836
2021-03-09,41.97176,42.410423,41.257435,579999439,49190.71333
2021-03-10,42.632648,43.939114,41.229267,799915938,49435.65982
2021-03-11,42.244408,43.121059,41.74958,625698261,49509.46657
2021-03-12,44.132339,45.01199,42.096867,983852692,50038.63512
2021-03-13,49.669102,51.922661,43.660698,1670579730,50571.66763
2021-03-14,54.541752,56.923985,49.507202,2334194125,49944.48136
2021-03-15,53.606438,56.186249,52.451492,1660287262,49277.48151
2021-03-16,63.240593,63.240593,51.437519,1975742411,50776.06687
2021-03-17,89.26825,96.168015,62.796917,5549644898,51658.47094
2021-03-18,79.687279,89.549736,74.597885,4208814291,50618.81787
2021-03-19,83.317841,85.618523,76.547874,2281146439,51765.63503
2021-03-20,82.451317,85.789742,81.805557,1324962175,52640.80027
2021-03-21,80.999252,83.584114,80.666298,1042404616,51377.67266
2021-03-22,76.779648,81.500397,75.674698,1255738210,53138.07881
2021-03-23,82.449516,85.321632,74.189148,1922118447,49101.64632
2021-03-24,86.365334,94.623756,79.934303,2804586284,46623.42175
2021-03-25,90.843285,95.536926,85.517349,2890519323,52275.67935
2021-03-26,124.072655,127.91391,90.97541,4390559188,51970.181
2021-03-27,133.18425,139.484207,120.842308,5639110564,53530.58991
2021-03-28,125.447052,133.649506,121.252716,3054883925,52953.7331
2021-03-29,127.529121,130.312027,124.341782,1957347948,53824.00723
2021-03-30,149.664902,152.933762,125.013527,3886877718,54323.92697
2021-03-31,191.356552,196.666718,146.906448,8140051708,55669.02949
2021-04-01,188.178619,237.241821,182.714111,12367984683,55592.04351
2021-04-02,171.975632,205.107178,162.496124,7810199184,54246.98991
2021-04-03,178.852188,180.812439,163.958099,4675398993,57077.47179
2021-04-04,183.776642,193.821671,176.441681,4140406184,55397.42648
2021-04-05,176.778198,186.41275,172.410904,2821760773,56204.06735
2021-04-06,166.026062,178.759583,165.178009,2355666427,54752.4366
2021-04-07,156.494781,166.481857,136.032867,4802184132,56287.31394
2021-04-08,154.596664,159.069305,147.325638,2208289182,57661.37179
2021-04-09,172.519867,175.596832,153.258606,2959637615,57835.88638
2021-04-10,174.755371,188.975204,170.973053,3195299598,54517.81034
2021-04-11,179.184311,183.613297,173.105911,1789587132,50837.49913
2021-04-12,168.178284,180.970688,160.102295,2782663231,54436.1289
2021-04-13,163.96521,169.044891,160.037979,2034227437,55270.25778
2021-04-14,168.193771,178.897903,161.418045,2750656180,55928.79602
2021-04-15,171.222122,175.495895,168.405731,1893400609,57168.34851
2021-04-16,183.253845,195.729248,170.859467,5127405690,55992.18473
2021-04-17,182.68866,192.47084,178.553009,2558531808,58085.67506
2021-04-18,156.309326,185.153458,134.501114,3995571137,55857.8261
